"Name: SkuLevels"
"Date/Time: 2025-06-04 13:45:27"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70913,1327046,shaft,245.37,D,-1,0,-1,0,,,,,,,0,0,1E11E02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,132715,shim,13.33,D,-1,0,-1,0,,,,,,,0,0,1L01B03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1327413,lock washer,62.72,D,-1,0,-1,0,,,,,,,0,3,1K11D03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1327878,roller bearing,561.61,D,0,1,0,1,,,,,,,4,1,1H08E03,Auto Approved,0.3733,"=""1000""",Planned,9.00
70913,1328010,tight-fit screw,245.70,D,-1,0,-1,0,,,,,,,0,2,1L06F05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1328242,O-ring,31.06,D,44,82,45,83,,,,,,,714,66,1L12C02,Auto Approved,50.1507,"=""1000""",Planned,9.00
70913,1328926,valve prot. cap,36.44,D,-1,0,-1,0,,,,,,,0,2,1B03D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1328995,O-ring,76.85,D,-1,0,-1,0,,,,,,,0,0,1L12G01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1329577,gasket,68.90,D,-1,0,-1,0,,,,,,,0,0,1K07K02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1331804,snap ring,271.53,D,-1,0,-1,0,,,,,,,0,0,1D08C04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1331820,O-ring,37.03,D,-1,0,-1,0,,,,,,,2,0,1K08C05,Auto Approved,0.1611,"=""1000""",Planned,9.00
70913,1331879,O-ring,62.61,D,-1,0,-1,0,,,,,,,0,2,1K09B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1331914,O-ring,59.49,D,-1,0,-1,0,,,,,,,0,0,1L04F06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1331933,guide sleeve,33.55,D,-1,0,-1,0,,,,,,,0,1,1K08C02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1332193,fan shroud,"1,106.27",D,-1,0,-1,0,,,,,,,0,0,AMZ-23,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1332328,O-ring,184.16,D,-1,0,-1,0,,,,,,,1,0,1L06D03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1332341,air cleaner,699.41,D,-1,0,-1,0,,,,,,,0,0,1D05B01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1332503,contr cylinder,"1,227.03",D,-1,0,-1,0,,,,,,,0,1,1C02C06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1332508,pin,6.47,D,-1,0,-1,0,,,,,,,18,0,1L04E03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1333733,bracket,"1,619.19",D,-1,0,-1,0,,,,,,,0,0,1H07G06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1334095,hose clamp,8.79,D,-1,0,-1,0,,,,,,,0,0,1H03E01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1334195,bracket,774.32,D,-1,0,-1,0,,,,,,,0,2,1B04G04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1334539,bearing bush,37.80,D,-1,0,-1,0,,,,,,,0,0,1E11B03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1334954,support ring,204.42,D,-1,0,-1,0,,,,,,,0,0,1F02C01,Auto Approved,0.0000,"=""1000""",Planned,9.00
